Date,Time_MPP_h,Efficiency (%),Power (W),Voltage (V),Current (mA cm-2),Temperature (°C),Sun (-),Humidity (%)
,0,10.127514705684185,0.000022584357793675736,-2.1994564533233643,-0.000010268167898175307,19.8,0.00446,0
,0.020073333333333332,9.826719688294409,0.000022454054487752728,-2.220534324645996,-0.000010112110430782195,19.8,0.00457,0
,0.025666944444444444,9.81725322235112,0.00002218699228251353,-2.225592851638794,-0.000009969002348952927,19.8,0.00452,0
,0.028730555555555558,9.672167238775351,0.000022439427993958816,-2.2330994606018066,-0.000010048581316368654,19.8,0.00464,0
,0.03179083333333333,7.5355693179121985,0.000017331809431198053,-2.232116937637329,-0.000007763489520584699,19.8,0.0046,0
,0.03792583333333333,0.4293588358795759,9.896721167024225e-7,-2.237255096435547,-4.424351516263414e-7,19.8,0.00461,0
,0.040987222222222223,0.4860104230596404,0.0000010254819926558412,-2.231100559234619,-4.59547095488233e-7,19.8,0.00422,0
,0.04404944444444445,0.4337339523931107,9.932507509802235e-7,-2.226731538772583,-4.460458455923799e-7,19.8,0.00458,0
,0.047113055555555554,0.4298689625527741,0.0000010015946827479638,-2.231168270111084,-4.488925071655103e-7,19.8,0.00466,0
,0.05017277777777778,0.396512852836747,8.961190474110481e-7,-2.2363555431365967,-4.0066296946861257e-7,19.8,0.00452,0
,0.05297277777777778,0.3656255821145973,8.683607575221686e-7,-2.23300838470459,-3.8883081288076937e-7,19.8,0.00475,0
,0.056032222222222226,0.3692196200355273,8.972036766863312e-7,-2.2287800312042236,-4.026146882551984e-7,19.8,0.00486,0
,0.05909472222222223,0.313844486369154,7.406729878312035e-7,-2.214312791824341,-3.344977415054018e-7,19.8,0.00472,0
,0.06215638888888889,0.2906790149577789,6.74375314702047e-7,-2.2076292037963867,-3.054398405311076e-7,19.8,0.00464,0
,0.06801722222222222,0.30883355013278974,6.90242984546785e-7,-2.2109572887420654,-3.1218633012031205e-7,19.8,0.00447,0
,0.07107916666666667,0.2926472635853644,6.877210694256064e-7,-2.2139031887054443,-3.106397343799472e-7,19.8,0.0047,0
,0.07413472222222221,0.338544920020428,7.786533160469844e-7,-2.209932565689087,-3.5228939054832153e-7,19.8,0.0046,0
,0.07719444444444444,0.2765820405186287,6.319899625850667e-7,-2.2001616954803467,-2.8719665579046705e-7,19.8,0.00457,0
,0.07998083333333333,0.3305632516356935,7.437673161803104e-7,-2.2160463333129883,-3.3558086443008506e-7,19.8,0.0045,0
,0.08304333333333334,0.26764611563428886,6.169242965370358e-7,-2.216623067855835,-2.7833112881126e-7,19.8,0.00461,0
,0.0858375,0.27247612337202065,6.239703225219273e-7,-2.2156624794006348,-2.8166871857138176e-7,19.7,0.00458,0
,0.08889833333333333,0.25569851779484304,5.919420686950616e-7,-2.2209455966949463,-2.664509395344794e-7,19.7,0.00463,0
,0.0919586111111111,0.2995036478412948,6.768782441213261e-7,-2.226936101913452,-3.0393829320018995e-7,19.7,0.00452,0
,0.09501888888888889,0.2758459792658,6.082403842810891e-7,-2.227522373199463,-2.7305284788781137e-7,19.7,0.00441,0
,0.09808027777777778,0.32327013691242384,5.123831670061918e-7,-2.2328789234161377,-2.294879521969051e-7,19.7,0.00317,0
,0.10114194444444444,0.382784781016942,6.717872906847333e-7,-2.2349045276641846,-3.006003339578456e-7,19.6,0.00351,0
,0.1039325,0.2717414831812789,5.896790185033751e-7,-2.230700969696045,-2.642856600232335e-7,19.6,0.00434,0
,0.10699138888888889,0.23648450168980323,5.096241011415259e-7,-2.2235376834869385,-2.2918094089163787e-7,19.6,0.00431,0
,0.11005416666666666,0.24182059311420537,5.489327463692462e-7,-2.21596622467041,-2.475824487646605e-7,19.6,0.00454,0
,0.11311055555555555,0.23993796169970055,5.554563813348068e-7,-2.2187411785125732,-2.503174982848577e-7,19.6,0.00463,0
,0.11617027777777779,0.21400281630636564,5.10396716890682e-7,-2.223432779312134,-2.2955963174808858e-7,19.6,0.00477,0
,0.12230444444444444,0.19939879415236897,4.6659317831654334e-7,-2.2338082790374756,-2.088655719489907e-7,19.6,0.00468,0
,0.12536416666666667,0.2081499296841453,4.91233834054583e-7,-2.2498559951782227,-2.1832877905580972e-7,19.6,0.00472,0
,0.12843583333333333,0.20687872380294883,4.644427349376201e-7,-2.249157428741455,-2.0651215493217023e-7,19.6,0.00449,0
,0.1314936111111111,0.2060613540731626,4.79092648220103e-7,-2.244999408721924,-2.1338242106594407e-7,19.6,0.00465,0
,0.13455166666666668,0.16926856901302664,3.867786801947659e-7,-2.245394468307495,-1.7230713922344876e-7,19.5,0.00457,0
,0.13761333333333334,0.2622882170221096,5.901484882997465e-7,-2.2424967288970947,-2.6312105205761327e-7,19.5,0.0045,0
,0.1406761111111111,0.20428858131316974,4.79056723179383e-7,-2.252332925796509,-2.1271141292800166e-7,19.5,0.00469,0
,0.14373166666666665,0.22960562396045162,5.487574412654794e-7,-2.2564382553100586,-2.4321369096469425e-7,19.5,0.00478,0
,0.14679083333333334,0.262481861843494,4.1472134171272046e-7,-2.25011944770813,-1.843094707965065e-7,19.5,0.00316,0
,0.14985083333333332,0.19173309789291176,4.4290345613262616e-7,-2.248119354248047,-1.970154670516422e-7,19.4,0.00462,0
,0.152925,0.217782578703864,5.10700147060561e-7,-2.2480881214141846,-2.271753487548267e-7,19.4,0.00469,0
,0.15598583333333332,0.24160573384915263,5.641493885377713e-7,-2.2577223777770996,-2.4984481683532067e-7,19.4,0.00467,0
,0.15904555555555555,0.27490201958513993,6.254020945561933e-7,-2.257575035095215,-2.7700562554855424e-7,19.4,0.00455,0
,0.162105,0.255348873502549,5.745349653807352e-7,-2.263510227203369,-2.53842330266707e-7,19.4,0.0045,0
,0.1651638888888889,0.20975307314795924,4.866271297032654e-7,-2.265758752822876,-2.1475918288160756e-7,19.3,0.00464,0
,0.16822361111111112,0.20007616050330676,4.661774539727048e-7,-2.2604384422302246,-2.0628509389553074e-7,19.3,0.00466,0
,0.171015,0.2192252662995667,4.921607228425273e-7,-2.252596378326416,-2.1846780384748854e-7,19.3,0.00449,0
,0.17407861111111111,0.18615856792588864,4.169951921539905e-7,-2.2459607124328613,-1.85588930889935e-7,19.3,0.00448,0
,0.17713638888888888,0.2007391130410298,4.5367039547272725e-7,-2.2461965084075928,-2.0196971206587477e-7,19.3,0.00452,0
,0.1801963888888889,0.20499833176522722,4.663712047658919e-7,-2.247551441192627,-2.0753071794388234e-7,19.3,0.00455,0
,0.18326083333333335,0.22985697235726504,5.068346240477695e-7,-2.246483087539673,-2.2561511059393524e-7,19.3,0.00441,0
,0.19193027777777777,0.1726102223476814,3.995926647348824e-7,-2.249386787414551,-1.776457310143087e-7,19.3,0.00463,0
,0.19494916666666667,0.23745610234439948,5.413999133452307e-7,-2.239647150039673,-2.4174971713364357e-7,19.3,0.00456,0
,0.19800777777777778,0.14457454098091047,3.2529271720704855e-7,-2.2344892024993896,-1.455976530451153e-7,19.3,0.0045,0
,0.2010677777777778,0.15353362260726341,3.4775365520545165e-7,-2.2417519092559814,-1.5514426365825784e-7,19.2,0.00453,0
,0.20385999999999999,0.15471256959314744,3.5197109582441044e-7,-2.2448840141296387,-1.5678659792683902e-7,19.2,0.00455,0
,0.20691944444444443,0.1837849151117677,4.300567013615364e-7,-2.2526564598083496,-1.9093873504516523e-7,19.2,0.00468,0
,0.20997805555555557,0.24356007884016712,4.7615995413252676e-7,-2.248779535293579,-2.1175863196276623e-7,19.2,0.00391,0
,0.2130372222222222,0.19399671974777635,4.3746260303123563e-7,-2.2529799938201904,-1.9413070617702033e-7,19.2,0.00451,0
,0.2160997222222222,0.17477436308076397,3.9324231693171896e-7,-2.2435429096221924,-1.7540843089136615e-7,19.1,0.0045,0
,0.21915583333333333,0.20981793927466957,4.888757985099801e-7,-2.2355926036834717,-2.1869608701763354e-7,19.1,0.00466,0
,0.2219475,0.2723329505882423,6.481524224000168e-7,-2.2386388778686523,-2.895306465688918e-7,19.1,0.00476,0
,0.2250111111111111,0.32907946739572336,7.618189670210995e-7,-2.237877607345581,-3.4044856533910206e-7,19.1,0.00463,0
,0.2280711111111111,0.43788819885894614,0.0000010268478263242287,-2.246152400970459,-4.57206880355443e-7,19.1,0.00469,0
,0.23112888888888888,0.3498478617429989,8.029008427001827e-7,-2.251732587814331,-3.565955353224126e-7,19.1,0.00459,0
,0.23418833333333333,0.3009025247067875,7.296886224139598e-7,-2.233715534210205,-3.2672548400114465e-7,19.1,0.00485,0
,0.235585,0.2829092077438993,6.591784540432855e-7,-2.2291409969329834,-2.956688263111573e-7,19.1,0.00466,0
,0.23614944444444447,0.3027997290953122,7.100653647285071e-7,-2.2282371520996094,-3.1862876426203e-7,19.1,0.00469,0
,0.23671055555555556,0.35646159692836316,8.145147489813098e-7,-2.2324891090393066,-3.6480201970334747e-7,19.1,0.00457,0
,0.23726583333333334,0.32017704100409616,7.508151611546054e-7,-2.232531785964966,-3.3634347573752166e-7,19,0.00469,0
,0.23782499999999998,0.27005727509316313,6.211317327142751e-7,-2.2295334339141846,-2.7861190687872295e-7,19,0.0046,0
,0.2383825,0.30942621141667076,7.116802862583427e-7,-2.2253496646881104,-3.1981096526578767e-7,19,0.0046,0
,0.2389338888888889,0.38703215447336936,8.359894536624779e-7,-2.223832130432129,-3.759400897251908e-7,19,0.00432,0
,0.23949055555555557,0.27370352461499503,6.254125537452637e-7,-2.2206592559814453,-2.816296671426244e-7,19,0.00457,0
,0.24007333333333333,1.622046523039477,0.0000037793683986819815,-2.219680070877075,-0.000001702887175270007,19,0.00466,0
,0.24060305555555556,9.674404753567188,0.00002239624700450804,-2.2213640213012695,-0.000010081662367156241,19,0.00463,0
,0.24116333333333334,1.3852472992043776,0.0000032414786801382434,-2.2235450744628906,-0.0000014563627246388933,19,0.00468,0
,0.24171888888888887,-9.901744045553569,-0.000022625485144089907,-2.2222089767456055,0.000010180435310758185,19,0.00457,0
,0.24228388888888888,-3.4802545468486117,-0.00000814379563962575,-2.2204174995422363,0.0000036665358038590057,19,0.00468,0
,0.24282888888888887,9.33624087298816,0.00002161339762096759,-2.218595504760742,-0.000009741296707943548,19,0.00463,0
,0.2433847222222222,5.2767153578980635,0.000012268363207112998,-2.2193374633789062,-0.000005528089786821511,19,0.00465,0
,0.24394583333333333,3.9651655370426746,0.000009040577424457297,-2.2223708629608154,-0.000004068190719408449,19,0.00456,0
,0.24449777777777779,3.010200390350135,0.000006818103884143056,-2.2202110290527344,-0.0000030707797122886404,19,0.00453,0
,0.24505416666666668,2.2873963607399035,0.000005386818429542473,-2.2202048301696777,-0.0000024264127205242403,19,0.00471,0
,0.24561083333333333,1.9846874401628962,0.000004475470177567331,-2.2267794609069824,-0.0000020099196262890473,19,0.00451,0
,0.24619083333333333,1.7522723825542226,0.000003995181032223627,-2.2285966873168945,-0.0000017926967075254652,19,0.00456,0
,0.24672666666666668,1.4780255736221317,0.0000033994588193309028,-2.225273609161377,-0.0000015276513067874475,19,0.0046,0
,0.2472791666666667,1.238821856898148,0.0000028926490358571755,-2.222805976867676,-0.0000013013581110499217,19,0.00467,0
,0.2478358333333333,1.066384510702298,0.000002458016297168797,-2.2280166149139404,-0.000001103207637243031,19,0.00461,0
,0.2484061111111111,0.9590167877915432,0.000002191353360103676,-2.229161262512207,-9.830029057411593e-7,19,0.00457,0
,0.24894833333333335,0.8268629965667351,0.0000018976505771206575,-2.228545665740967,-8.51516062994051e-7,19,0.00459,0
,0.2495086111111111,0.9322198554795299,0.0000019436783986748196,-2.227694272994995,-8.725097018214001e-7,19,0.00417,0
,0.2500611111111111,0.6965663507779047,0.0000015846884480197332,-2.232841730117798,-7.097276579770551e-7,19,0.00455,0
,0.2506175,0.7475718359041791,0.0000016708230532458401,-2.2334718704223633,-7.48038758047187e-7,18.9,0.00447,0
,0.25117388888888886,0.6194567907375246,0.0000013906804952057428,-2.237744092941284,-6.215514076757245e-7,18.9,0.00449,0
,0.2517302777777778,0.2726486822901014,6.189125087985303e-7,-2.2392795085906982,-2.763991631127283e-7,18.9,0.00454,0
,0.25234388888888887,0.3734607242074924,8.290828077406331e-7,-2.2405731678009033,-3.7001044006501616e-7,18.9,0.00444,0
,0.2528427777777778,0.25600979426056725,5.837023309140932e-7,-2.243668556213379,-2.601571793547919e-7,18.9,0.00456,0
,0.25396722222222223,0.3743182989622036,8.684184535923123e-7,-2.239506721496582,-3.877780443417578e-7,18.9,0.00464,0
,0.25456388888888887,0.3035952876535189,6.982691616030934e-7,-2.244230270385742,-3.1114058174352976e-7,18.9,0.0046,0
,0.2550836111111111,0.3081732286621098,7.180436227827158e-7,-2.2433416843414307,-3.2009884876060823e-7,18.9,0.00466,0
,0.25563583333333334,0.3766327786845226,8.66255390974402e-7,-2.2416000366210938,-3.863764277411974e-7,18.9,0.0046,0
,0.2561925,0.060876471575012026,1.4245094348552811e-7,-2.2409651279449463,-6.361815962918627e-8,18.9,0.00468,0
